Model,Features,L,H,Layers/depth,Hidden,Dropout,Batch,Optimizer,LR,WD,Epochs,Patience,Loss,PINN weights / Ea,Seeds / averaging
LSTM v1 teacher-forced,"k_exp, temperature, c_rate_chg, c_rate_dischg, soc_window, age_type, Q0, Re0, Rct0 + measured Q/Re history",20,not used; measured target history supplied at inference,2 LSTM layers,192,0.2 LSTM; 0.1 head,512,AdamW,1e-3,1e-5,220 max; v4 fine-tune up to 79 epochs,40 main LSTM; v4 fine-tune 20,SmoothL1 on standardized targets,not applicable,seed 42; fixed split single-seed
LSTM v2 no-history,"k_exp, temperature, c_rate_chg, c_rate_dischg, soc_window, age_type, Q0, Re0, Rct0",20,not used,2 LSTM layers,192,0.2 LSTM; 0.1 head,512,AdamW,1e-3,1e-5,220 max; v4 fine-tune up to 79 epochs,40 main LSTM; v4 fine-tune 20,SmoothL1 on standardized targets,not applicable,seed 42; fixed split single-seed
LSTM v3 rollout,"k_exp, temperature, c_rate_chg, c_rate_dischg, soc_window, age_type, Q0, Re0, Rct0 + previous predicted Q/Re feedback",20,until end of held-out cell after seed/window,2 LSTM layers,192,0.2 LSTM; 0.1 head,512,AdamW,1e-3,1e-5,220 max; v4 fine-tune up to 79 epochs,40 main LSTM; v4 fine-tune 20,SmoothL1 on standardized targets,not applicable,seed 42; fixed split single-seed
LSTM v4 rollout-tuned,"k_exp, temperature, c_rate_chg, c_rate_dischg, soc_window, age_type, Q0, Re0, Rct0 + previous predicted Q/Re feedback",20,until end of held-out cell after seed/window,2 LSTM layers,192,0.2 LSTM; 0.1 head,512,AdamW,1e-3 then 3e-4 rollout tuning,1e-5,220 max; v4 fine-tune up to 79 epochs,40 main LSTM; v4 fine-tune 20,SmoothL1 on standardized targets,not applicable,seed 42; fixed split single-seed
PINN_pred,"k_exp, temperature, c_rate_chg, c_rate_dischg, soc_window, age_type, Q0, Re0, Rct0",not applicable,not applicable,5,384,0.04,512,AdamW,7e-4,8e-6,300 max; config search 80,60 but FORCE_FULL=True recorded,SmoothL1 prediction loss,not applicable for physics loss,"ensemble seeds [42,52,62]"
PINN_phys,"k_exp, temperature, c_rate_chg, c_rate_dischg, soc_window, age_type, Q0, Re0, Rct0",not applicable,not applicable,5,384,0.04,512,AdamW,7e-4,8e-6,300 max; config search 80,60 but FORCE_FULL=True recorded,SmoothL1 data + IC + monotonic + smoothness + Arrhenius residual,"adaptive lm/ls/lp/li initialized 1.0; clamped lm 0.01-5, ls 0.001-1, lp 0.02-0.5, li 0.01-3; loss=data+li*IC+phys_ramp*(lm*mono+ls*smooth+lp*phys); Ea=40000+40000*sigmoid(raw) J/mol; Ea target mean 56 kJ/mol, target std 7, std floor 4; recovered full-model Ea 57.49 +/- 1.36 kJ/mol","ensemble seeds [42,52,62]"
PINN-feature LSTM hybrids,"k_exp, Re0, Q0, stress, Ea_kJ_mol_mean; best also Rct0",20,until end of held-out cell after seed/window,2 LSTM layers,192,0.2 LSTM,512,AdamW,1e-3; fine-tune 3e-4,1e-5,220 max; fine-tune 80,40,SmoothL1; optional monotonic/Arrhenius auxiliary during hybrid training,uses PINN-derived Ea_kJ_mol_mean and stress feature; no direct PINN loss in LSTM inference,"Phase 6 seed 42; Phase 7 ensembles [42,52,62,72,82]"
Random Forest,full9 pointwise,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,selected by validation grid,squared-error tree criterion,not applicable,"random_state 42; full9 selected n_estimators=600, max_depth=None, min_samples_leaf=3, max_features=0.7"
ExtraTrees,full9 pointwise,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,selected by validation grid,squared-error tree criterion,not applicable,"random_state 42; full9 selected n_estimators=500, max_depth=16, min_samples_leaf=2, max_features=0.8"
XGBoost,full9 pointwise,not applicable,not applicable,max_depth=4,not applicable,not applicable,not applicable,gradient-boosted trees,0.025,reg_lambda=3.0,n_estimators=800,selected by validation grid,"reg:squarederror, MultiOutputRegressor",not applicable,"random_state 42; subsample=0.9, colsample_bytree=0.8"
Residual MLP,"k_exp, temperature, c_rate_chg, c_rate_dischg, soc_window, age_type, Q0, Re0, Rct0",not applicable,not applicable,5 residual blocks selected,256,0.10,512,AdamW,7e-4,3e-4,600 max; selected config early stopped at 222,40,SmoothL1 on standardized targets,not applicable,seed 42; fixed split single-seed
Neural ODE,"k_exp, temperature, c_rate_chg, c_rate_dischg, soc_window, age_type, Q0, Re0, Rct0",cell trajectory batches,not recorded as rollout horizon,4,256,0.05,32 cells,AdamW,7e-4,1e-5,300 max,60,not fully recorded in result manifest; notebook uses staged monotonic training,NODE_STAGE_A_FRAC=0.15; NODE_MONO_MARGIN=1e-4,"seeds [42,52,62] recorded; final averaging not explicitly recorded"
Decision Tree,"k_exp, temperature, c_rate_chg, c_rate_dischg, soc_window, age_type, Q0, Re0, Rct0",not applicable,not applicable,"grid searched max_depth 10,12,14,16,18",not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,squared-error criterion,not applicable,final selected max_depth/min_samples_leaf not recorded
